,Quarter,Region,State,Purpose,Trips
157,01/01/1999,Adelaide,South Australia,Other,25.9018459
158,01/04/1999,Adelaide,South Australia,Other,54.5493233
159,01/07/1999,Adelaide,South Australia,Other,28.7145367
160,01/10/1999,Adelaide,South Australia,Other,44.903216
161,01/01/2000,Adelaide,South Australia,Other,56.4463277
162,01/04/2000,Adelaide,South Australia,Other,80.9540403
163,01/07/2000,Adelaide,South Australia,Other,40.340643
164,01/10/2000,Adelaide,South Australia,Other,47.349627
165,01/01/2001,Adelaide,South Australia,Other,36.8334712
166,01/04/2001,Adelaide,South Australia,Other,65.0079823
167,01/07/2001,Adelaide,South Australia,Other,54.7317678
168,01/10/2001,Adelaide,South Australia,Other,56.2549271
169,01/01/2002,Adelaide,South Australia,Other,41.5928159
170,01/04/2002,Adelaide,South Australia,Other,36.6562369
171,01/07/2002,Adelaide,South Australia,Other,50.8411344
172,01/10/2002,Adelaide,South Australia,Other,43.8577248
173,01/01/2003,Adelaide,South Australia,Other,40.1157815
174,01/04/2003,Adelaide,South Australia,Other,64.3621483
175,01/07/2003,Adelaide,South Australia,Other,44.4441751
176,01/10/2003,Adelaide,South Australia,Other,43.3242303
177,01/01/2004,Adelaide,South Australia,Other,42.3108254
178,01/04/2004,Adelaide,South Australia,Other,56.0269055
179,01/07/2004,Adelaide,South Australia,Other,59.2224325
180,01/10/2004,Adelaide,South Australia,Other,57.6255736
181,01/01/2005,Adelaide,South Australia,Other,49.7870409
182,01/04/2005,Adelaide,South Australia,Other,49.2945724
183,01/07/2005,Adelaide,South Australia,Other,31.9925869
184,01/10/2005,Adelaide,South Australia,Other,55.8062237
185,01/01/2006,Adelaide,South Australia,Other,50.236464
186,01/04/2006,Adelaide,South Australia,Other,55.449475
187,01/07/2006,Adelaide,South Australia,Other,54.776388
188,01/10/2006,Adelaide,South Australia,Other,41.805042
189,01/01/2007,Adelaide,South Australia,Other,41.2923221
190,01/04/2007,Adelaide,South Australia,Other,49.9884623
191,01/07/2007,Adelaide,South Australia,Other,55.0872166
192,01/10/2007,Adelaide,South Australia,Other,51.7531199
193,01/01/2008,Adelaide,South Australia,Other,43.8686265
194,01/04/2008,Adelaide,South Australia,Other,37.5657883
195,01/07/2008,Adelaide,South Australia,Other,46.4611953
196,01/10/2008,Adelaide,South Australia,Other,44.106251
197,01/01/2009,Adelaide,South Australia,Other,52.0594965
198,01/04/2009,Adelaide,South Australia,Other,52.4399762
199,01/07/2009,Adelaide,South Australia,Other,56.0704944
200,01/10/2009,Adelaide,South Australia,Other,41.9836801
201,01/01/2010,Adelaide,South Australia,Other,43.76536
202,01/04/2010,Adelaide,South Australia,Other,55.7404317
203,01/07/2010,Adelaide,South Australia,Other,53.0696029
204,01/10/2010,Adelaide,South Australia,Other,55.3062409
205,01/01/2011,Adelaide,South Australia,Other,70.1165861
206,01/04/2011,Adelaide,South Australia,Other,56.6278031
207,01/07/2011,Adelaide,South Australia,Other,61.9101303
208,01/10/2011,Adelaide,South Australia,Other,57.9282548
209,01/01/2012,Adelaide,South Australia,Other,58.2204869
210,01/04/2012,Adelaide,South Australia,Other,88.1216209
211,01/07/2012,Adelaide,South Australia,Other,66.8339913
212,01/10/2012,Adelaide,South Australia,Other,42.2232428
213,01/01/2013,Adelaide,South Australia,Other,52.7758394
214,01/04/2013,Adelaide,South Australia,Other,52.4453248
215,01/07/2013,Adelaide,South Australia,Other,79.5717441
216,01/10/2013,Adelaide,South Australia,Other,101.7222527
217,01/01/2014,Adelaide,South Australia,Other,61.9746584
218,01/04/2014,Adelaide,South Australia,Other,66.2706781
219,01/07/2014,Adelaide,South Australia,Other,51.6426037
220,01/10/2014,Adelaide,South Australia,Other,68.0916207
221,01/01/2015,Adelaide,South Australia,Other,58.8773942
222,01/04/2015,Adelaide,South Australia,Other,69.6538907
223,01/07/2015,Adelaide,South Australia,Other,46.7824002
224,01/10/2015,Adelaide,South Australia,Other,40.8500667
225,01/01/2016,Adelaide,South Australia,Other,60.7569305
226,01/04/2016,Adelaide,South Australia,Other,80.4886879
227,01/07/2016,Adelaide,South Australia,Other,81.7148422
228,01/10/2016,Adelaide,South Australia,Other,83.5487847
229,01/01/1998,Adelaide,South Australia,Visiting,241.5561095
230,01/04/1998,Adelaide,South Australia,Visiting,170.1105142
231,01/07/1998,Adelaide,South Australia,Visiting,232.3488833
232,01/10/1998,Adelaide,South Australia,Visiting,180.9617928
233,01/01/1999,Adelaide,South Australia,Visiting,199.711846
234,01/04/1999,Adelaide,South Australia,Visiting,179.5662015
235,01/07/1999,Adelaide,South Australia,Visiting,203.9482412
236,01/10/1999,Adelaide,South Australia,Visiting,214.4801446
237,01/01/2000,Adelaide,South Australia,Visiting,251.7557851
238,01/04/2000,Adelaide,South Australia,Visiting,178.6629738
239,01/07/2000,Adelaide,South Australia,Visiting,147.5333628
240,01/10/2000,Adelaide,South Australia,Visiting,213.1198656
241,01/01/2001,Adelaide,South Australia,Visiting,239.9944022
242,01/04/2001,Adelaide,South Australia,Visiting,155.6012016
243,01/07/2001,Adelaide,South Australia,Visiting,162.7763442
244,01/10/2001,Adelaide,South Australia,Visiting,256.3846773
245,01/01/2002,Adelaide,South Australia,Visiting,198.208282
246,01/04/2002,Adelaide,South Australia,Visiting,250.1651577
247,01/07/2002,Adelaide,South Australia,Visiting,223.3220049
248,01/10/2002,Adelaide,South Australia,Visiting,189.6923009
249,01/01/2003,Adelaide,South Australia,Visiting,230.0463821
250,01/04/2003,Adelaide,South Australia,Visiting,173.4722393
251,01/07/2003,Adelaide,South Australia,Visiting,175.135268
252,01/10/2003,Adelaide,South Australia,Visiting,208.7591977
253,01/01/2004,Adelaide,South Australia,Visiting,265.7548591
254,01/04/2004,Adelaide,South Australia,Visiting,213.8409703
255,01/07/2004,Adelaide,South Australia,Visiting,183.408378
256,01/10/2004,Adelaide,South Australia,Visiting,231.7860383
257,01/01/2005,Adelaide,South Australia,Visiting,261.8095196
258,01/04/2005,Adelaide,South Australia,Visiting,176.1852599
259,01/07/2005,Adelaide,South Australia,Visiting,165.3942311
260,01/10/2005,Adelaide,South Australia,Visiting,182.0362393
261,01/01/2006,Adelaide,South Australia,Visiting,218.827553
262,01/04/2006,Adelaide,South Australia,Visiting,194.114447
263,01/07/2006,Adelaide,South Australia,Visiting,163.068442
264,01/10/2006,Adelaide,South Australia,Visiting,220.230351
265,01/01/2007,Adelaide,South Australia,Visiting,246.2381097
266,01/04/2007,Adelaide,South Australia,Visiting,220.738877
267,01/07/2007,Adelaide,South Australia,Visiting,188.9236406
268,01/10/2007,Adelaide,South Australia,Visiting,223.1513123
269,01/01/2008,Adelaide,South Australia,Visiting,243.6220677
270,01/04/2008,Adelaide,South Australia,Visiting,186.8657264
271,01/07/2008,Adelaide,South Australia,Visiting,179.00034
272,01/10/2008,Adelaide,South Australia,Visiting,218.8652874
273,01/01/2009,Adelaide,South Australia,Visiting,193.9363459
274,01/04/2009,Adelaide,South Australia,Visiting,166.5628643
275,01/07/2009,Adelaide,South Australia,Visiting,206.980141
276,01/10/2009,Adelaide,South Australia,Visiting,199.9165145
277,01/01/2010,Adelaide,South Australia,Visiting,177.3642501
278,01/04/2010,Adelaide,South Australia,Visiting,190.3976189
279,01/07/2010,Adelaide,South Australia,Visiting,136.6111544
280,01/10/2010,Adelaide,South Australia,Visiting,174.7713795
281,01/01/2011,Adelaide,South Australia,Visiting,213.8757276
282,01/04/2011,Adelaide,South Australia,Visiting,185.397534
283,01/07/2011,Adelaide,South Australia,Visiting,145.3488
284,01/10/2011,Adelaide,South Australia,Visiting,206.5681484
285,01/01/2012,Adelaide,South Australia,Visiting,177.4265611
286,01/04/2012,Adelaide,South Australia,Visiting,165.9582747
287,01/07/2012,Adelaide,South Australia,Visiting,174.4469643
288,01/10/2012,Adelaide,South Australia,Visiting,236.4678649
289,01/01/2013,Adelaide,South Australia,Visiting,177.7299619
290,01/04/2013,Adelaide,South Australia,Visiting,213.4183644
291,01/07/2013,Adelaide,South Australia,Visiting,197.1145928
292,01/10/2013,Adelaide,South Australia,Visiting,180.1940008
293,01/01/2014,Adelaide,South Australia,Visiting,231.4417583
294,01/04/2014,Adelaide,South Australia,Visiting,271.6676219
295,01/07/2014,Adelaide,South Australia,Visiting,150.1489141
296,01/10/2014,Adelaide,South Australia,Visiting,266.3051506
297,01/01/2015,Adelaide,South Australia,Visiting,215.3990872
298,01/04/2015,Adelaide,South Australia,Visiting,223.3509723
299,01/07/2015,Adelaide,South Australia,Visiting,190.545635
300,01/10/2015,Adelaide,South Australia,Visiting,260.6050131
301,01/01/2016,Adelaide,South Australia,Visiting,259.8811767
302,01/04/2016,Adelaide,South Australia,Visiting,219.1658594
303,01/07/2016,Adelaide,South Australia,Visiting,203.7540928
304,01/10/2016,Adelaide,South Australia,Visiting,251.2916838
305,01/01/1998,Adelaide Hills,South Australia,Business,0
306,01/04/1998,Adelaide Hills,South Australia,Business,0
307,01/07/1998,Adelaide Hills,South Australia,Business,7.4175726
308,01/10/1998,Adelaide Hills,South Australia,Business,0
309,01/01/1999,Adelaide Hills,South Australia,Business,0.669801
310,01/04/1999,Adelaide Hills,South Australia,Business,0.9485634
311,01/07/1999,Adelaide Hills,South Australia,Business,0
312,01/10/1999,Adelaide Hills,South Australia,Business,0
313,01/01/2000,Adelaide Hills,South Australia,Business,0
314,01/04/2000,Adelaide Hills,South Australia,Business,0.6234467
315,01/07/2000,Adelaide Hills,South Australia,Business,4.9205512
316,01/10/2000,Adelaide Hills,South Australia,Business,7.2571081
317,01/01/2001,Adelaide Hills,South Australia,Business,0
318,01/04/2001,Adelaide Hills,South Australia,Business,5.4055598
319,01/07/2001,Adelaide Hills,South Australia,Business,1.8786155
320,01/10/2001,Adelaide Hills,South Australia,Business,0.9916063
321,01/01/2002,Adelaide Hills,South Australia,Business,0
322,01/04/2002,Adelaide Hills,South Australia,Business,2.2811975
323,01/07/2002,Adelaide Hills,South Australia,Business,0
324,01/10/2002,Adelaide Hills,South Australia,Business,0
325,01/01/2003,Adelaide Hills,South Australia,Business,0
326,01/04/2003,Adelaide Hills,South Australia,Business,2.265113
327,01/07/2003,Adelaide Hills,South Australia,Business,2.4946163
328,01/10/2003,Adelaide Hills,South Australia,Business,0
329,01/01/2004,Adelaide Hills,South Australia,Business,4.1064634
330,01/04/2004,Adelaide Hills,South Australia,Business,6.1167046
331,01/07/2004,Adelaide Hills,South Australia,Business,28.6015152
332,01/10/2004,Adelaide Hills,South Australia,Business,5.1464077
333,01/01/2005,Adelaide Hills,South Australia,Business,5.9550873
334,01/04/2005,Adelaide Hills,South Australia,Business,6.9998942
335,01/07/2005,Adelaide Hills,South Australia,Business,0.7188813
336,01/10/2005,Adelaide Hills,South Australia,Business,0
337,01/01/2006,Adelaide Hills,South Australia,Business,1.322368
338,01/04/2006,Adelaide Hills,South Australia,Business,1.348101
339,01/07/2006,Adelaide Hills,South Australia,Business,0.788043
340,01/10/2006,Adelaide Hills,South Australia,Business,2.58543
341,01/01/2007,Adelaide Hills,South Australia,Business,3.4910835
342,01/04/2007,Adelaide Hills,South Australia,Business,1.9444892
343,01/07/2007,Adelaide Hills,South Australia,Business,0.9550753
344,01/10/2007,Adelaide Hills,South Australia,Business,7.4194128
345,01/01/2008,Adelaide Hills,South Australia,Business,4.5110447
346,01/04/2008,Adelaide Hills,South Australia,Business,5.1827222
347,01/07/2008,Adelaide Hills,South Australia,Business,0.7745446
348,01/10/2008,Adelaide Hills,South Australia,Business,0
349,01/01/2009,Adelaide Hills,South Australia,Business,0.4740745
350,01/04/2009,Adelaide Hills,South Australia,Business,1.7390433
351,01/07/2009,Adelaide Hills,South Australia,Business,0
352,01/10/2009,Adelaide Hills,South Australia,Business,7.0883161
353,01/01/2010,Adelaide Hills,South Australia,Business,1.2614911
354,01/04/2010,Adelaide Hills,South Australia,Business,1.5545561
355,01/07/2010,Adelaide Hills,South Australia,Business,4.411182
356,01/10/2010,Adelaide Hills,South Australia,Business,0.7453911
357,01/01/2011,Adelaide Hills,South Australia,Business,0.8340089
358,01/04/2011,Adelaide Hills,South Australia,Business,1.486946
359,01/07/2011,Adelaide Hills,South Australia,Business,8.9171885
360,01/10/2011,Adelaide Hills,South Australia,Business,1.3575087
361,01/01/2012,Adelaide Hills,South Australia,Business,0
362,01/04/2012,Adelaide Hills,South Australia,Business,3.0112114
363,01/07/2012,Adelaide Hills,South Australia,Business,0
364,01/10/2012,Adelaide Hills,South Australia,Business,4.7733067
365,01/01/2013,Adelaide Hills,South Australia,Business,1.7713181
366,01/04/2013,Adelaide Hills,South Australia,Business,2.6677437
367,01/07/2013,Adelaide Hills,South Australia,Business,0
368,01/10/2013,Adelaide Hills,South Australia,Business,0
369,01/01/2014,Adelaide Hills,South Australia,Business,0
370,01/04/2014,Adelaide Hills,South Australia,Business,1.3273655
371,01/07/2014,Adelaide Hills,South Australia,Business,0
372,01/10/2014,Adelaide Hills,South Australia,Business,0
373,01/01/2015,Adelaide Hills,South Australia,Business,0.7312116
374,01/04/2015,Adelaide Hills,South Australia,Business,1.8651584
375,01/07/2015,Adelaide Hills,South Australia,Business,18.0812472
376,01/10/2015,Adelaide Hills,South Australia,Business,0
377,01/01/2016,Adelaide Hills,South Australia,Business,13.9097966
378,01/04/2016,Adelaide Hills,South Australia,Business,0
379,01/07/2016,Adelaide Hills,South Australia,Business,3.8583368
380,01/10/2016,Adelaide Hills,South Australia,Business,0.1173455
381,01/01/1998,Adelaide Hills,South Australia,Holiday,6.8104523
382,01/04/1998,Adelaide Hills,South Australia,Holiday,13.6720871
383,01/07/1998,Adelaide Hills,South Australia,Holiday,12.9211976
384,01/10/1998,Adelaide Hills,South Australia,Holiday,18.1373877
385,01/01/1999,Adelaide Hills,South Australia,Holiday,10.9051648
386,01/04/1999,Adelaide Hills,South Australia,Holiday,16.7807442
387,01/07/1999,Adelaide Hills,South Australia,Holiday,6.9177303
388,01/10/1999,Adelaide Hills,South Australia,Holiday,9.7011935
389,01/01/2000,Adelaide Hills,South Australia,Holiday,15.0217047
390,01/04/2000,Adelaide Hills,South Australia,Holiday,15.0266245
391,01/07/2000,Adelaide Hills,South Australia,Holiday,35.7513371
392,01/10/2000,Adelaide Hills,South Australia,Holiday,6.9048294
393,01/01/2001,Adelaide Hills,South Australia,Holiday,0
394,01/04/2001,Adelaide Hills,South Australia,Holiday,8.5686541
395,01/07/2001,Adelaide Hills,South Australia,Holiday,6.8432419
396,01/10/2001,Adelaide Hills,South Australia,Holiday,2.0958331
397,01/01/2002,Adelaide Hills,South Australia,Holiday,10.0677382
398,01/04/2002,Adelaide Hills,South Australia,Holiday,13.9655569
399,01/07/2002,Adelaide Hills,South Australia,Holiday,8.210802
400,01/10/2002,Adelaide Hills,South Australia,Holiday,11.2447404
401,01/01/2003,Adelaide Hills,South Australia,Holiday,7.6936875
402,01/04/2003,Adelaide Hills,South Australia,Holiday,1.2393061
403,01/07/2003,Adelaide Hills,South Australia,Holiday,8.1428229
404,01/10/2003,Adelaide Hills,South Australia,Holiday,2.7774158
405,01/01/2004,Adelaide Hills,South Australia,Holiday,20.6068023
406,01/04/2004,Adelaide Hills,South Australia,Holiday,4.0609206
407,01/07/2004,Adelaide Hills,South Australia,Holiday,16.159782
408,01/10/2004,Adelaide Hills,South Australia,Holiday,8.492838
409,01/01/2005,Adelaide Hills,South Australia,Holiday,9.0009987
410,01/04/2005,Adelaide Hills,South Australia,Holiday,7.2371547
411,01/07/2005,Adelaide Hills,South Australia,Holiday,6.4905447
412,01/10/2005,Adelaide Hills,South Australia,Holiday,3.5300866
413,01/01/2006,Adelaide Hills,South Australia,Holiday,9.258452
414,01/04/2006,Adelaide Hills,South Australia,Holiday,6.678015
415,01/07/2006,Adelaide Hills,South Australia,Holiday,5.770516
416,01/10/2006,Adelaide Hills,South Australia,Holiday,5.642634
417,01/01/2007,Adelaide Hills,South Australia,Holiday,7.783172
418,01/04/2007,Adelaide Hills,South Australia,Holiday,5.2993434
419,01/07/2007,Adelaide Hills,South Australia,Holiday,4.8560908
420,01/10/2007,Adelaide Hills,South Australia,Holiday,12.3934947
421,01/01/2008,Adelaide Hills,South Australia,Holiday,4.7703495
422,01/04/2008,Adelaide Hills,South Australia,Holiday,8.3249579
423,01/07/2008,Adelaide Hills,South Australia,Holiday,8.5390942
424,01/10/2008,Adelaide Hills,South Australia,Holiday,7.9047397
425,01/01/2009,Adelaide Hills,South Australia,Holiday,6.7295009
426,01/04/2009,Adelaide Hills,South Australia,Holiday,3.7608167
427,01/07/2009,Adelaide Hills,South Australia,Holiday,6.5875964
428,01/10/2009,Adelaide Hills,South Australia,Holiday,11.9245373
429,01/01/2010,Adelaide Hills,South Australia,Holiday,2.5127822
430,01/04/2010,Adelaide Hills,South Australia,Holiday,5.2512939
431,01/07/2010,Adelaide Hills,South Australia,Holiday,6.7521319
432,01/10/2010,Adelaide Hills,South Australia,Holiday,13.1153901
433,01/01/2011,Adelaide Hills,South Australia,Holiday,6.3379975
434,01/04/2011,Adelaide Hills,South Australia,Holiday,8.0623412
435,01/07/2011,Adelaide Hills,South Australia,Holiday,5.6189895
436,01/10/2011,Adelaide Hills,South Australia,Holiday,16.751851
437,01/01/2012,Adelaide Hills,South Australia,Holiday,4.6416648
438,01/04/2012,Adelaide Hills,South Australia,Holiday,22.0608883
439,01/07/2012,Adelaide Hills,South Australia,Holiday,4.7464807
440,01/10/2012,Adelaide Hills,South Australia,Holiday,4.9041933
441,01/01/2013,Adelaide Hills,South Australia,Holiday,2.9074736
442,01/04/2013,Adelaide Hills,South Australia,Holiday,24.2493715
443,01/07/2013,Adelaide Hills,South Australia,Holiday,13.6249076
444,01/10/2013,Adelaide Hills,South Australia,Holiday,15.584661
445,01/01/2014,Adelaide Hills,South Australia,Holiday,13.1612756
446,01/04/2014,Adelaide Hills,South Australia,Holiday,19.9885048
447,01/07/2014,Adelaide Hills,South Australia,Holiday,4.2122145
448,01/10/2014,Adelaide Hills,South Australia,Holiday,4.1815956
449,01/01/2015,Adelaide Hills,South Australia,Holiday,12.0771581
450,01/04/2015,Adelaide Hills,South Australia,Holiday,26.4468084
451,01/07/2015,Adelaide Hills,South Australia,Holiday,18.9311208
452,01/10/2015,Adelaide Hills,South Australia,Holiday,20.767052
453,01/01/2016,Adelaide Hills,South Australia,Holiday,21.6138858
454,01/04/2016,Adelaide Hills,South Australia,Holiday,11.2939838
455,01/07/2016,Adelaide Hills,South Australia,Holiday,15.490573
